CIUDAD;DEPARTAMENTO;ACUERDO DE OBRA;INSTITUCIÓN EDUCATIVA;FECHA INICIO F1;TIPO DE INTERVENCION;FECHA FIN F1;VALOR INICIAL F1;VALOR ADICIONADO REAL F1;VALOR FACTURADO REAL FASE 1;PLAZO FASE 1;FECHA FIN ULTIMO PRODUCTO F1;FECHA RADICACIÓN LICENCIA;FECHA EXPEDICIÓN LICENCIA;DIFERENCIA;DIF_TRASLA;FECHA ORDEN DE INICIO F2;PLAZO FASE OBRA (F2);VALOR INICIAL F2;VALOR ADICIONADO REAL F2;VALOR FACTURADO REAL F2;FECHA FIN F2 REAL;ESTADO ACTUAL F1;ESTADO ACTUAL F2;COMENTARIOS;AVANCE FASE 1;AVANCE FASE 2;PAGO ETAPA 1 F2;PAGO ETAPA 2 F2;PAGO ETAPA 3 F2;PAGO ETAPA 4 F2;PAGO ETAPA 5 F2;FECHA INI REAL F2 ETAPA 1;FECHA INI REAL F2 ETAPA 2;FECHA INI REAL F2 ETAPA 3;FECHA INI REAL F2 ETAPA 4;FECHA INI REAL F2 ETAPA 5;PLAZO ETAPA 1 F2;PLAZO ETAPA 2 F2;PLAZO ETAPA 3 F2;PLAZO ETAPA 4 F2;PLAZO ETAPA 5 F2;SUSPENSION TOTAL F2 ETAPA 1;SUSPENSION TOTAL F2 ETAPA 2;SUSPENSION TOTAL F2 ETAPA 3;SUSPENSION TOTAL F2 ETAPA 4;SUSPENSION TOTAL F2 ETAPA 5;PRORROGA TOTAL F2 ETAPA 1;PRORROGA TOTAL F2 ETAPA 2;PRORROGA TOTAL F2 ETAPA 3;PRORROGA TOTAL F2 ETAPA 4;PRORROGA TOTAL F2 ETAPA 5;AVANCE F2 ETAPA 1;AVANCE F2 ETAPA 2;AVANCE F2 ETAPA 3;AVANCE F2 ETAPA 4;AVANCE F2 ETAPA 5
Piedecuesta;Santander;406065;Luis Carlos Galán Sede B;17/11/2017;Ampliación;4/03/2018;18496962;0;;3.5;;19/03/2018;;;;;10;197490795;0;;;Iniciado;No iniciado;;0.9154;0;21723987.45;98547906.71;15799263.6;44435428.88;16984208.37;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Tuta;Boyacá;406041;IE San Nicolás Sede Siderúrgica;26/09/2017;Ampliación;10/01/2018;10707369;0;;3.5;;30/04/2018;;;;;8;134846768;0;;;Iniciado;No iniciado;;0.9505;0;14833144.48;67288537.23;10787741.44;30340522.8;11596822.05;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Bucaramanga;Santander;406044;IE Camacho Carreño;29/08/2017;Nuevo;14/12/2017;24780226;0;;3.5;;29/12/2017;;;;;11;256220741;0;;;Iniciado;No iniciado;;0.8911;0;28184281.51;127854149.8;20497659.28;57649666.73;22034983.73;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Piedecuesta;Santander;406057;Víctor Félix Gómez Nova Sede A;16/11/2017;Ampliación;3/03/2018;29897207;0;;3.5;;1/12/2018;;;;;12;355110372;0;;;Iniciado;No iniciado;;0.3546;0;39062140.92;177200075.6;28408829.76;79899833.7;30539491.99;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Piedecuesta;Santander;;Balbino García Sede A;;Ampliación;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tunja;Boyacá;406036;Rural del Sur;25/07/2017;Nuevo;9/11/2017;26471055;0;;3.5;;24/11/2017;;;;;11;277831886;0;;;Iniciado;No iniciado;;0.8029;0;30561507.46;138638111.1;22226550.88;62512174.35;23893542.2;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Duitama;Boyacá;406042;Rafael Reyes;29/08/2017;Ampliación;14/12/2017;16441741;0;;3.5;;15/05/2018;;;;;9;171907732;0;;;Iniciado;No iniciado;;0.9811;0;18909850.52;85781958.27;13752618.56;38679239.7;14784064.95;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Duitama;Boyacá;406043;Santo Tomas de Aquino;30/08/2017;Ampliación;15/12/2017;19315240;0;;3.5;;24/03/2018;;;;;10;180597652;0;;;Iniciado;No iniciado;;0.73405;0;19865741.72;90118228.35;14447812.16;40634471.7;15531398.07;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Duitama;Boyacá;406033;Simón Bolívar;15/08/2017;Ampliación;30/11/2017;9709605;0;;3.5;;23/03/2018;9/10/2018;;;;8;138558634;0;;;Iniciado;No iniciado;;0.9325;0;15241449.74;69140758.37;11084690.72;31175692.65;11916042.52;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Duitama;Boyacá;406035;José Miguel Silva Plazas;2/08/2017;Ampliación;17/11/2017;7395651;0;;3.5;5/04/2018;20/03/2018;11/09/2018;159;335;19/09/2018;7;96768175;0;;19/04/2019;Terminado;"Iniciado
";;1;0.4808;10644499.25;48287319.33;7741454;21772839.38;8322063.05;1/03/2019;22/09/2018;22/09/2018;;26/01/2019;59;195;138;429;210;;;;;;;;;;;1;0.674;0;0.0292;0.3264
